"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"58","273.7632727971413","51.29818173519098","4.9276010346589025","-0.3087727098213404","0.03639999999999999","0.0404","0.032399999999999984","1400","0.0004904450152950163","0","0.0004904450152950163","0.0004904450152950163","","","true"
"59","255.5934514370476","27.16223814488805","4.83655989213741","-0.30870851919220194","0.005400000000000071","0.0056","0.005199999999999982","1400","0.00023341261535478222","0","0.00023341261535478222","0.00023341261535478222","59_58:0.007510245256567544;59_60:0.0056846335024115235","59_58:660;59_60:660","true"
"60","249.68660000622194","262.63036677511855","4.947950372525255","-0.30751443780574855","0.011500000000000066","0.010000000000000009","0.013","1400","0.00026211789177618325","0","0.00026211789177618325","0.00026211789177618325","","","true"
"61","119.33099808206298","68.46651698811996","5.005341956451526","-0.30759850811320055","0.015700000000000047","0.013000000000000012","0.0184","1400","0.00026272183234849703","0","0.00026272183234849703","0.00026272183234849703","61_60:0.005308440661457164","61_60:660","true"
"62","220.0444543277974","171.7071147120143","4.899105431830274","-0.30870494477533716","0.01200000000000001","0.0088","0.015199999999999991","1400","0.0004338111828423864","0","0.0004338111828423864","0.0004338111828423864","62_61:0.006616068158906446;62_63:0.008865387345895148","62_61:660;62_63:660","true"
"63","180.84110819929947","20.244026572250252","5.044249180966406","-0.3053361600218257","0.007900000000000018","0.0068","0.009000000000000008","1400","0.00040545138321943365","0","0.00040545138321943365","0.00040545138321943365","63_64:0.008147628152106873","63_64:660","true"
"64","215.20398883945876","219.4438330228786","4.948845880588515","-0.3081231121571439","0.009200000000000097","0.013800000000000034","0.0046","1400","0.0002301259856165166","0","0.0002301259856165166","0.0002301259856165166","64_65:0.005541174462218884","64_65:660","true"
"65","184.44905173822914","162.8053978235267","5.021211141431582","-0.3064257446494279","0.005199999999999982","0.005199999999999982","0.0052","1400","0.00017061988082117156","0","0.00017061988082117156","0.00017061988082117156","65_66:0.0065936484712423304","65_66:660","true"
"66","198.04100910161068","174.36663212873864","4.883702368379957","-0.3085434849853796","0.02289999999999992","0.022399999999999975","0.0234","1400","0.00023208437471116425","0","0.00023208437471116425","0.00023208437471116425","","","true"
"67","195.84106357708964","178.57726099369245","5.070218242692147","-0.3064385514672985","0.012900000000000023","0.015800000000000036","0.01","1400","0.00041232731665339327","0","0.00041232731665339327","0.00041232731665339327","67_68:0.004923092926858913;67_66:0.010958329644000203","67_68:660;67_66:660","true"
"68","254.12787977221575","40.923063607753136","4.968535360005774","-0.30732510773315325","0.06359999999999999","0.0566","0.0706","1400","0.00021257938083447253","0","0.00021257938083447253","0.00021257938083447253","68_69:0.01169590145812821","68_69:660","true"
"69","215.7504888527474","48.61717220217363","4.927450578375241","-0.3068374303910223","0.024399999999999977","0.017","0.03180000000000005","1400","0.00035919870310425356","0","0.00035919870310425356","0.00035919870310425356","","","true"
"70","187.32488724851143","130.50277457115814","5.046869735051741","-0.3056680769900874","0.009400000000000075","0.0098","0.009000000000000008","1400","0.0003462117253120152","0","0.0003462117253120152","0.0003462117253120152","70_69:0.010638452398057524","70_69:660","true"
"71","218.7001850172124","154.3627721301759","4.779737133441626","-0.31073244529720223","0.023600000000000065","0.02839999999999998","0.0188","1400","0.0002853698035795303","0","0.0002853698035795303","0.0002853698035795303","71_58:0.009372462077028104","71_58:660","true"
"72","179.5634251132854","216.55010176172595","5.0268460442537855","-0.3060343398401531","0.014699999999999935","0.0148","0.014599999999999946","1400","0.00019511497628198213","0","0.00019511497628198213","0.00019511497628198213","72_62:0.005093282784967873","72_62:660","true"
"73","285.3414203192644","47.76302475951554","4.7977280448172746","-0.30947052123505503","0.005400000000000071","0.0068","0.0040000000000000036","1400","0.0001920840923534477","0","0.0001920840923534477","0.0001920840923534477","73_66:0.004036865943016832;73_85:0.005290148833689529","73_66:660;73_85:660","true"
"74","220.45631742375494","249.57095606758844","5.115358651693011","-0.30505875282277195","0.007500000000000062","0.0098","0.005199999999999982","1400","0.00020989104130665607","0","0.00020989104130665607","0.00020989104130665607","74_70:0.008442592074184907","74_70:660","true"
"75","294.7078465239328","127.60102786837558","4.704551212883792","-0.3080059575647261","0.03269999999999995","0.0382","0.027200000000000002","1400","0.0003226083473146637","0","0.0003226083473146637","0.0003226083473146637","75_90:0.013698011358094564","75_90:660","true"
"76","202.13470642572761","61.46627865036214","4.956873101146538","-0.3078830819026628","0.15359999999999996","0.1796","0.12760000000000005","1400","0.038560721129211946","0","0.038560721129211946","0.038560721129211946","76_75:0.09855873685757582;76_77:1","76_75:660;76_77:660","true"
"77","305.0474867967061","27.573174267627003","5.073310281978634","-0.3072387981592113","0.10160000000000002","0.0762","0.127","1400","0.0005289659487305084","0","0.0005289659487305084","0.0005289659487305084","77_71:0.00896566480403227;77_78:0.01176879672226272","77_71:660;77_78:660","true"
"78","259.7109107817842","125.12324779887479","4.818734473598302","-0.30994690391168395","0.01770000000000005","0.023800000000000043","0.0116","1400","0.0002857670595493448","0","0.0002857670595493448","0.0002857670595493448","","","true"
"79","135.21384307486272","38.13199080128374","4.87435259307494","-0.3086825807394473","0.01550000000000007","0.015199999999999991","0.0158","1400","0.0005732777259181556","0","0.0005732777259181556","0.0005732777259181556","79_78:0.013415067597782465;79_91:0.01102583674100871","79_78:660;79_91:660","true"
"80","176.2613537980924","206.77975602123274","4.921252894418753","-0.3087617805698333","0.018299999999999983","0.020399999999999974","0.0162","1400","0.0004392884262409182","0","0.0004392884262409182","0.0004392884262409182","80_79:0.018471300452542777","80_79:660","true"
"81","175.7670833475702","30.11029885313996","5.076126448622089","-0.3059902937064216","0.015700000000000047","0.016","0.01539999999999997","1400","0.0005555455429631098","0","0.0005555455429631098","0.0005555455429631098","81_72:0.013965577351889524;81_80:0.01274772238241384","81_72:660;81_80:660","true"
"82","241.4791820182166","218.82998920179344","5.127967479548124","-0.3059024252346668","0.005099999999999993","0.007199999999999984","0.003","1400","0.00018263968097815758","0","0.00018263968097815758","0.00018263968097815758","82_81:0.015490248745449076;82_83:0.006208597665043558","82_81:660;82_83:660","true"
"83","281.4843701215391","219.28319914198852","5.00044321605944","-0.30774331654431775","0.013400000000000079","0.0178","0.009000000000000008","1400","0.00023151054391032868","0","0.00023151054391032868","0.00023151054391032868","83_92:0.015276467482235156","83_92:660","true"
"84","234.6256992977626","297.0626149694431","5.0633477154565405","-0.3054053389883266","0.007900000000000018","0.008000000000000007","0.0078","1400","0.0001669703589327798","0","0.0001669703589327798","0.0001669703589327798","84_83:0.006116976249888745;84_85:0.004782607997115024","84_83:660;84_85:660","true"
"85","284.65125113941707","64.59588967856905","4.959758453457266","-0.3086584050434344","0.0049000000000000155","0.0048000000000000265","0.005","1400","0.0001782886560270701","0","0.0001782886560270701","0.0001782886560270701","","","true"
