"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"58","532.5342354425808","176.2251572856384","4.737296927817522","-0.3112562293028337","0.08940000000000003","0.09260000000000002","0.0862","1400","0.00017666337033076632","0","0.00017666337033076632","0.00017666337033076632","58_71:0.005868348047691652","58_71:660","true"
"59","413.18623186946627","363.3834592167169","4.901516456679564","-0.3070516806225324","0.01629999999999998","0.018199999999999994","0.0144","1400","0.0002700598966539624","0","0.0002700598966539624","0.0002700598966539624","59_58:0.008090971238073591;59_60:0.006539663434742549","59_58:660;59_60:660","true"
"60","248.6765250711884","155.47635897113366","4.937706812103407","-0.3069452313257832","0.027700000000000058","0.022800000000000042","0.0326","1400","0.0002668965573440529","0","0.0002668965573440529","0.0002668965573440529","60_53:0.0077167087788531374","60_53:660","true"
"61","323.8517871609786","245.95364843735564","4.8641761578146925","-0.3089108825350579","0.30499999999999994","0.5","0.11","1400","0.0058757492374876385","0","0.0058757492374876385","0.0058757492374876385","61_60:1;61_62:1","61_60:660;61_62:660","true"
"62","488.84186560344585","260.7610984822471","4.6508768414928765","-0.311771769762377","0.016000000000000014","0.022399999999999975","0.0096","1400","0.0001571326785866336","0","0.0001571326785866336","0.0001571326785866336","62_72:0.0043941471332846205","62_72:660","true"
"63","335.9027959013896","162.22230799278844","4.882157201459022","-0.3077224207866349","0.0049000000000000155","0.0066","0.0031999999999999806","1400","0.00039798817324295904","0","0.00039798817324295904","0.00039798817324295904","63_62:0.0059927543570722774","63_62:660","true"
"64","143.31632851914887","103.26726637395195","4.956186500438443","-0.3072535034857098","0.006699999999999928","0.008399999999999963","0.005","1400","0.0002732391665335752","0","0.0002732391665335752","0.0002732391665335752","64_54:0.018890593397371508;64_63:0.012391387774907003","64_54:660;64_63:660","true"
"65","481.38736698884907","235.03653741747024","4.761268893832991","-0.30847551722691047","0.013000000000000012","0.0122","0.013800000000000034","1400","0.00014358535359976885","0","0.00014358535359976885","0.00014358535359976885","65_64:0.006532428725955025","65_64:660","true"
"66","330.8354179991188","16.154003639605246","4.941346250827976","-0.2827533936570362","0.06879999999999997","0.0496","0.08799999999999997","1400","0.002866501375604315","0","0.002866501375604315","0.002866501375604315","66_73:0.027395832441672208;66_65:0.02187762640040042","66_73:660;66_65:660","true"
"67","411.6267266108303","108.98974109904093","5.042651831200517","-0.30553261906714385","0.04610000000000003","0.0582","0.03400000000000003","1400","0.0003772672513685761","0","0.0003772672513685761","0.0003772672513685761","67_66:0.021160675551232244","67_66:660","true"
"68","152.89819934833739","192.69535992351476","5.128353399813636","-0.3037249053723611","0.05899999999999994","0.0546","0.06340000000000001","1400","0.00020934931181360708","0","0.00020934931181360708","0.00020934931181360708","68_67:0.005383383803228975;68_69:0.0055146935742829695;68_55:0.012424806332491073","68_67:660;68_69:660;68_55:660","true"
"69","247.72154649473933","264.7462094627968","5.073777133059351","-0.303766875764741","0.006099999999999994","0.0066","0.005600000000000049","1400","0.00029213349818900766","0","0.00029213349818900766","0.00029213349818900766","69_70:0.0039944508372619925","69_70:660","true"
"70","356.76424156860975","56.52644572329931","4.875375459351334","-0.30702041690984844","0.08210000000000006","0.09199999999999997","0.0722","1400","0.00016962632570699054","0","0.00016962632570699054","0.00016962632570699054","","","true"
"71","421.07341530490334","413.80954799251305","4.826601875020092","-0.3088117820479275","0.008599999999999941","0.008199999999999985","0.009","1400","0.000122533814466289","0","0.000122533814466289","0.000122533814466289","71_77:0.005044447942732899","71_77:660","true"
